Agent_Group_1 DesignTable_28
 Eval #, A_%_Front_Aero_Balance,         CDA_Mean,         CLA_Mean,            DFDRR,        Downforce,      DownforceFW,    DownforceMean,      DownforceRW,      DownforceUT,             Drag,           DragFW,         DragMean,           DragRW,           DragUT,        Moment_XVD,        Moment_YVD,       Moment_ZVD,          SideSlip, FrontRideHeightChange, RearRideHeightChange,              Roll,      Turn_Radius,       Wheel_Angle
      1,       4.4128048420e+01, 1.6061115953e+00, 3.9714678253e+00, 2.4727222173e+00, 6.0116719797e+02, 1.8589509097e+02, 6.0196014404e+02, 1.9609049806e+02, 1.7635160085e+02, 2.4315120171e+02, 3.3669223994e+01, 2.4344026184e+02, 1.1557540120e+02, 3.3969866135e+01, -2.5883888558e+04, -1.4967130772e+01, 1.0483292757e+04, -2.5237551570e-02,     -3.3619309655e-02,    -1.7067533767e-02, -2.0199449725e-02, 5.1472736368e+01, -7.9389694847e-01
      2,       2.9989415407e+01, 1.6231218343e+00, 3.8033093884e+00, 2.3432063497e+00, 5.7648114058e+02, 1.4100320873e+02, 5.7647216797e+02, 1.9788963434e+02, 1.8221996639e+02, 2.4605189806e+02, 2.9191591236e+01, 2.4601852417e+02, 1.1362281725e+02, 3.6710698182e+01, -5.1205456192e+04, -1.0311415747e+02, 2.1851914582e+04, -1.3367740309e-02,      2.1985992996e-03,    -1.6230115058e-02, -2.3078489245e-02, 9.7177588794e+01,  6.7698849425e+00
      3,       4.5207220316e+01, 1.6449031629e+00, 4.1008213054e+00, 2.4930472491e+00, 6.2176332679e+02, 1.9242114734e+02, 6.2156640625e+02, 1.9341332725e+02, 1.9847386179e+02, 2.4947028348e+02, 3.4351709979e+01, 2.4931994629e+02, 1.1553763579e+02, 3.7122407012e+01, -3.2454760643e+04,  2.9757143905e+00, 1.3026303257e+04, -2.1444417640e-02,     -2.6595797899e-02,     3.2786393197e-03, -1.1824062031e-02, 6.0577288644e+01,  2.4477238619e+00
      4,       3.1859266758e+01, 1.6566232537e+00, 3.8972903822e+00, 2.3525508129e+00, 5.9102994286e+02, 1.4656766289e+02, 5.9071697998e+02, 1.9785009077e+02, 1.9251690267e+02, 2.5134371701e+02, 2.9779758404e+01, 2.5109637451e+02, 1.1647114543e+02, 3.7866032414e+01, -3.5621238267e+04, -1.0119713185e+02, 1.5147618811e+04, -1.8926913471e-02,     -9.2296148074e-04,    -9.6238119060e-03, -1.3808854427e-02, 6.8634817409e+01,  7.8354177089e+00
      5,       4.4323849678e+01, 1.6068879683e+00, 3.9383125120e+00, 2.4508942687e+00, 5.9592886375e+02, 1.8900474369e+02, 5.9693475342e+02, 1.9626026967e+02, 1.6998763143e+02, 2.4323296857e+02, 3.3443067935e+01, 2.4355793762e+02, 1.1495765907e+02, 3.4023685558e+01, -5.3148941688e+04,  5.5080122375e+00, 2.1696915724e+04, -1.3311618630e-02,     -3.3879439720e-02,    -5.7468734367e-03, -1.5052076038e-02, 9.7587293647e+01,  1.1422211106e+01
      6,       3.3926951885e+01, 1.6683929752e+00, 3.8423281699e+00, 2.3030114770e+00, 5.8223839310e+02, 1.5399002588e+02, 5.8238629150e+02, 1.9904786935e+02, 1.8583181430e+02, 2.5291898455e+02, 3.1032988948e+01, 2.5288032532e+02, 1.1779670054e+02, 3.7468894939e+01, -3.6479301435e+04, -8.0908257250e+01, 1.5842170520e+04, -1.8295891956e-02,      1.2181090545e-03,     1.2471235618e-03, -2.7440670335e-02, 7.1002001001e+01,  3.1005502751e+00
      8,       2.9333448410e+01, 1.6231202236e+00, 3.7241290108e+00, 2.2944258575e+00, 5.6538504665e+02, 1.3846775259e+02, 5.6447070312e+02, 1.9790765002e+02, 1.7425002777e+02, 2.4613407330e+02, 2.9055550577e+01, 2.4601828003e+02, 1.1318116308e+02, 3.7059582562e+01, -3.1352378423e+04, -1.1709872439e+02, 1.3646723767e+04, -2.0358206168e-02,      3.6193096548e-03,    -2.3394697349e-02, -3.0319709855e-02, 6.3809404702e+01,  1.3071535768e+00
      9,       4.2391020060e+01, 1.6275403750e+00, 3.7368417154e+00, 2.2960055387e+00, 5.6841061526e+02, 1.8487450309e+02, 5.6639758301e+02, 1.9916900798e+02, 1.4506235117e+02, 2.4737167031e+02, 3.3946384758e+01, 2.4668824768e+02, 1.2014234660e+02, 3.3752874063e+01, -3.5090886870e+04, -2.4953829510e+01, 1.5276405098e+04, -1.8521508883e-02,     -3.0957978989e-02,    -2.9864932466e-03, -3.1890095048e-02, 7.0137068534e+01,  5.0815407704e+00
     10,       3.4690272808e+01, 1.6192695667e+00, 3.8535392693e+00, 2.3798009600e+00, 5.8489663451e+02, 1.4958744856e+02, 5.8408557129e+02, 1.9043166225e+02, 1.9462125326e+02, 2.4553807332e+02, 3.0021558632e+01, 2.4543463135e+02, 1.1156363874e+02, 3.7323704355e+01, -1.0932896985e+04, -8.4770149332e+01, 4.5974473935e+03, -4.7983929105e-02,     -1.2268634317e-02,    -2.4697348674e-02, -2.3841870935e-02, 2.7072536268e+01,  1.0086543272e+01
     11,       4.1800796986e+01, 1.6417158258e+00, 4.4025642135e+00, 2.6816847011e+00, 6.6788948123e+02, 1.7772248305e+02, 6.6730194092e+02, 1.9838409091e+02, 2.4055447154e+02, 2.4875150838e+02, 3.3157829683e+01, 2.4883683777e+02, 1.1630126420e+02, 3.7349201447e+01, -4.9407445724e+04, -5.9362655308e+00, 1.8403093152e+04, -1.5777132580e-02,     -2.1233116558e-02,    -8.1970985493e-03, -2.0897398699e-02, 8.2337168584e+01, -2.0020010005e+00
